NUMERO_CARTE,NOM_FICHIER,DATEPUBF,DATSUPF,ECHELLE,EDIT,FORMAT,ZONE,PAYS,REGION,AUTEUR,AURSECD,lien,LONGWEST,LONGEST,LATSUD,LATNORD
106,CM_106_Pub_1822,1822,1877,1/46 500,Dépôt Général de la Marine.,GA (85 x 56 cm),"ATLANTIQUE,IROISE (Mer)",FRANCE (Côte Ouest),BREST (Abords),BEAUTEMPS-BEAUPRE,"COLLIN (E),BESANCON",http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_106_Pub_1822/file/ARCHIVES_CM_106_Pub_1822.7z,,,,
112,CM_112_Pub_1822_Corr_1897,1822,1902,1/14 600,Dépôt Général de la Marine.,DA (56 x 41 cm),ATLANTIQUE,FRANCE (Côte Ouest),BREST (Goulet),BEAUTEMPS-BEAUPRE,"COLLIN (E),BESANCON",http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_112_Pub_1822_Corr_1897/file/ARCHIVES_CM_112_Pub_1822_Corr_1897.7z,,,,
113,CM_113_Pub_1823_Corr_1877,1823,1880,1/46 300,Dépôt Général de la Marine.,GA (86 x 60 cm),ATLANTIQUE,FRANCE (Côte Ouest),"BREST (Rade), DOUARNENEZ (Baie)",BEAUTEMPS-BEAUPRE,"COLLIN (E),BESANCON",http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_113_Pub_1823_Corr_1877/file/ARCHIVES_CM_113_Pub_1823_Corr_1877.7z,,,,
131,CM_131_Pub_1829,1829,0,1/123 000,Dépôt Général de la Marine.,GA (86 x 56 cm),ATLANTIQUE,FRANCE (Côte Ouest),"LORIENT, SAINT, NAZAIRE","BEAUTEMPS-BEAUPRE (Charles-François),HYDE DE NEUVILLE,BESANÇON,COLLIN E,AUBERT DU PETIT-THOUARS (Abel),LE SAULNIER DE VAUHELLO","COLLIN (E),BESANCON",http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_131_Pub_1829/file/ARCHIVES_CM_131_Pub_1829.7z,,,,
232,CM_232_Pub_1831,1831,0,1/266 200,Dépôt Général de la Marine.,GA (90 x 60 cm),MEDITERRANEE,,CORSE,"DE HELL,DE RIGNY,DELOFFRE (T),MATHIEU (Anfré),ALLE (T),LAPIERRE (E),BRAIT,LONG (E),BLONDEAU (E),HACQ (J.M)","BLONDEAU,HACQ",http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_232_Pub_1831/file/ARCHIVES_CM_232_Pub_1831.7z,,,,
321,CM_321_Pub_1784_Ed_1860,1784,1885,1/226 700,"Dépôt Général des Cartes, Plans et Journaux de la Marine.",GA (89 x 59 cm),ATLANTIQUE,,"TERRE-NEUVE (Côte Ouest), SAINT, GREGORY (Cap), FEROLLE (Pointe), GREGORY (Pointe)","DU PETIT-THOUARS,DE TESSAN,CHIRON DU BROSSAI,MENARD,DE MACKAU,HACQ (J.M),JACOBS","JACOBS,HACQ (J.M)",http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_321_Pub_1784_Ed_1860/file/ARCHIVES_CM_321_Pub_1784_Ed_1860.7z,,,,
321,CM_321_Pub_1784_Ed_1864,1784,1885,1/226 700,"Dépôt Général des Cartes, Plans et Journaux de la Marine.",GA (89 x 59 cm),ATLANTIQUE,,"TERRE-NEUVE (Côte Ouest), SAINT, GREGORY (Cap), FEROLLE (Pointe), GREGORY (Pointe)","FISQUET,GARNAULT,DE MACKAU,DE ROSAMEL (Jh),HACQ (J.M),CHASSANT","CHASSANT,HACQ (J.M)",http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_321_Pub_1784_Ed_1864/file/ARCHIVES_CM_321_Pub_1784_Ed_1864.7z,,,,
322,CM_322_Pub_1784_Ed_1860,1784,0,1/227 200,"Dépôt Général des Cartes, Plans et Journaux de la Marine.",GA (91 x 65 cm),ATLANTIQUE,,"TERRE-NEUVE (Côte Nord), FEROLLE (Pointe), BELLE, ISLE","SMYTH (W.H),HACQ (J.M),JACOBS","JACOBS,HACQ (J.M)",http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_322_Pub_1784_Ed_1860/file/ARCHIVES_CM_322_Pub_1784_Ed_1860.7z,,,,
325,CM_325_Pub_1784,1784,1835,1/224 500,"Dépôt Général des Cartes, Plans et Journaux de la Marine.",GA (90 x 61 cm),ATLANTIQUE,,"TERRE-NEUVE (Côte Est), BAULD (Cap), SAINT, JOHN (Cap)","FISQUET,GARNAULT,DE ROSAMEL,DE MACKAU,HACQ (J.M),JACOBS","JACOBS,HACQ (J.M)",http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_325_Pub_1784/file/ARCHIVES_CM_325_Pub_1784.7z,,,,
326,CM_326_Pub_1792,1792,0,1/74 700,"Dépôt des Cartes, Plans et Journaux de la Marine.",GA (87 x 58 cm),ATLANTIQUE,,"TERRE-NEUVE (Côte Est), FOGO (île)","NIXON,BARKER,HAINES,KAUTZ",KAUTZ,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_326_Pub_1792/file/ARCHIVES_CM_326_Pub_1792.7z,,,,
327,CM_327_Pub_1792_Ed_1860,1792,0,1/228 600,"Dépôt des Cartes, Plans et Journaux de la Marine et des Colonies.",GA (85 x 53 cm),ATLANTIQUE,,"TERRE-NEUVE (Côte Est), BONAVISTA (Cap), BROYLE (Cap)",HEMERY,HEMERY,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_327_Pub_1792_Ed_1860/file/ARCHIVES_CM_327_Pub_1792_Ed_1860.7z,,,,
328,CM_328_Pub_1780,1780,1835,1/1 721 200,"Dépôt Général des Cartes, Plans et Journaux de la Marine.",GA (84 x 56 cm),"ATLANTIQUE,AMERIQUE DU NORD (Côte Est)",,"TERRE, NEUVE, NEW, YORK","DICQUEMARE (abbé),DE LA HAYE (Guillaume),FLEURIEU (C.P.Claret compte de),PIE (Alexandre),GUY),D'APRES DE MANNEVILLETTE (J.Bapt.Nicolas-Denis)",LA HAYE (Guill.De),http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_328_Pub_1780/file/ARCHIVES_CM_328_Pub_1780.7z,,,,
332,CM_332_Pub_1778_Ed_1860,1778,0,1/93 000,"Dépôt Général des Cartes, Plans et Journaux de la Marine.",DA (57 x 37 cm),ATLANTIQUE,,"SAINT-LAURENT (Golfe), PRINCE EDOUARD (île), SAINTE-ANNE (Rade), DAUPHIN (Port)","DICQUEMARE (abbé),DE LA HAYE (Guillaume),D'APRES DE MANNEVILLETTE (J.Bapt.Nicolas-Denis)",,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_332_Pub_1778_Ed_1860/file/ARCHIVES_CM_332_Pub_1778_Ed_1860.7z,,,,
336,CM_336_Pub_1780,1780,0,1/32 000,"Dépôt Général des Cartes, Plans et Journaux de la Marine.",GA (84 x 56 cm),"ATLANTIQUE,AMERIQUE DU NORD (Côte Est)",ETATS-UNIS (Côte Est),"MAINE (Baie), BOSTON (Port)","DICQUEMARE (abbé),GRENIER,DE LA HAYE (Guillaume),D'APRES DE MANNEVILLETTE (J.Bapt.Nicolas-Denis)",,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_336_Pub_1780/file/ARCHIVES_CM_336_Pub_1780.7z,,,,
338,CM_338_Pub_1778,1778,1835,1/1 948 100,"Dépôt Général des Cartes, Plans et Journaux de la Marine.",GA (84 x 56 cm),"ATLANTIQUE,AMERIQUE DU NORD (Côte Est)",ETATS-UNIS (Côte Est),"MAY (Cap), JACKSONVILLE","DICQUEMARE (abbé),GRENIER,DE LA HAYE (Guillaume),D'APRES DE MANNEVILLETTE (J.Bapt.Nicolas-Denis)",,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_338_Pub_1778/file/ARCHIVES_CM_338_Pub_1778.7z,,,,
339,CM_339_Pub_1778,1778,0,,"Dépôt Général des Cartes, Plans et Journaux de la Marine.",58 x 42 cm in GA (86 x 58 cm),"ATLANTIQUE,AMERIQUE DU NORD (Côte Est)",ETATS-UNIS (Côte Est),DELAWARE (Baie),"DICQUEMARE (abbé),GRENIER,DE LA HAYE (Guillaume),D'APRES DE MANNEVILLETTE (J.Bapt.Nicolas-Denis)",,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_339_Pub_1778/file/ARCHIVES_CM_339_Pub_1778.7z,,,,
340,CM_340_Pub_1778,1778,0,1/415 300,"Dépôt Général des Cartes, Plans et Journaux de la Marine.",GA (84 x 56 cm),ATLANTIQUE,ETATS-UNIS (Côte Est),CHESAPEAKE (Baie),"DE LA HAYE (Guillaume),D'APRES DE MANNEVILLETTE (J.Bapt.Nicolas-Denis)",,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_340_Pub_1778/file/ARCHIVES_CM_340_Pub_1778.7z,,,,
342,CM_342_Pub_1778,1778,0,1/85 800,"Dépôt Général des Cartes, Plans et Journaux de la Marine.",GA (85 x 59 cm),ATLANTIQUE,ETATS-UNIS (Côte Est),"PORT ROYAL, AWFOSKEE (Détroit), CAROLINE (Côte Sud)","DE LA CAILLE (Abbé),MAHE DE LA BOURDONNAIS,D'APRES DE MANNEVILLETTE (J.Bapt.Nicolas-Denis)",,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_342_Pub_1778/file/ARCHIVES_CM_342_Pub_1778.7z,,,,
343,CM_343_Pub_1779,1779,0,1/95 700,"Dépôt Général des Cartes, Plans et Journaux de la Marine.",35 x 15 cm in DA (59 x 43 cm),ATLANTIQUE,ETATS-UNIS (Côte Est),"AMELIA (île), FLORIDE (Côte Est)","DE BOISQUENAY,D'APRES DE MANNEVILLETTE (J.Bapt.Nicolas-Denis)",,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_343_Pub_1779/file/ARCHIVES_CM_343_Pub_1779.7z,,,,
344,CM_344_Pub_1807,1807,1837,1/5 200 000,Dépôt Général de la Marine.,GA (85 x 56 cm),"ATLANTIQUE,MEXIQUE (Golfe),ANTILLES (Mer)",,,D'APRES DE MANNEVILLETTE (J.Bapt.Nicolas-Denis),,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_344_Pub_1807/file/ARCHIVES_CM_344_Pub_1807.7z,,,,
345,CM_345_Pub_1800,1800,1837,1/2 598 000,Dépôt Général de la Marine.,GA (88 x 57 cm),"ATLANTIQUE,MEXIQUE (Golfe)",,,"DE LA HAYE (Guillaume),D'APRES DE MANNEVILLETTE (J.Bapt.Nicolas-Denis)",LA HAYE (Guill.De),http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_345_Pub_1800/file/ARCHIVES_CM_345_Pub_1800.7z,,,,
346,CM_346_Pub_1826,1826,1837,1/1 495 700,Dépôt Général de la Marine.,GA (87 x 55 cm),"ATLANTIQUE,MEXIQUE (Golfe)",,"SAINT, BLAS (Cap), LAGUNA MADRE","DE LA HAYE (Guillaume),D'APRES DE MANNEVILLETTE (J.Bapt.Nicolas-Denis)",LA HAYE (Guill.De),http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_346_Pub_1826/file/ARCHIVES_CM_346_Pub_1826.7z,,,,
347,CM_347_Pub_1826,1826,1837,1/1 572 000,Dépôt Général de la Marine.,GA (86 x 54 cm),"ATLANTIQUE,MEXIQUE (Golfe)",,"LAGUNA MADRE, CATOCHE (Cap)",D'APRES DE MANNEVILLETTE (J.Bapt.Nicolas-Denis),,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_347_Pub_1826/file/ARCHIVES_CM_347_Pub_1826.7z,,,,
348,CM_348_Pub_1813,1813,1837,1/3 629 400,Dépôt Général de la Marine.,GA (87 x 56 cm),"ATLANTIQUE,ANTILLES (Mer),AMERIQUE DU SUD (Côte Nord)",,"TERRE FERME, HONDURAS (Golfe), TRINITE (île)",D'APRES DE MANNEVILLETTE (J.Bapt.Nicolas-Denis),,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_348_Pub_1813/file/ARCHIVES_CM_348_Pub_1813.7z,,,,
349,CM_349_Pub_1801,1801,1837,1/2 634 400,Dépôt Général de la Marine.,GA (88 x 58 cm),"ATLANTIQUE,ANTILLES (Mer)","SAINT-DOMINGUE,JAMAIQUE,CUBA","ANTILLES, BAHAMA (Bancs), FLORIDE (Presqu'île), PORTO, RICO (île)",D'APRES DE MANNEVILLETTE (J.Bapt.Nicolas-Denis),,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_349_Pub_1801/file/ARCHIVES_CM_349_Pub_1801.7z,,,,
350,CM_350_Pub_1806,1806,1837,1/1 210 800,Dépôt Général de la Marine.,GA (85 x 56 cm),ATLANTIQUE,,"ANTILLES, PORTO, RICO (île), TRINITE (île)",D'APRES DE MANNEVILLETTE (J.Bapt.Nicolas-Denis),,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_350_Pub_1806/file/ARCHIVES_CM_350_Pub_1806.7z,,,,
352,CM_352_Pub_1823,1823,0,1/168 750,Dépôt Général de la Marine.,GA (88 x 52 cm),"ATLANTIQUE,ANTILLES (Mer)",,"DARIEN (Côte Nord-Ouest), SAINT, BLAS (Golfe), PINOS (île), PINOS (îles)",,VICQ,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_352_Pub_1823/file/ARCHIVES_CM_352_Pub_1823.7z,,,,
355,CM_355_Pub_1823,1823,0,1/609 500,Dépôt Général de la Marine.,GA (92 x 57 cm),"ATLANTIQUE,ANTILLES (Mer),AMERIQUE DU SUD (Côte Nord)",VENEZUELA,"TORTUGA (île), TRINIDAD (île)",,"VICQ,BESANCON",http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_355_Pub_1823/file/ARCHIVES_CM_355_Pub_1823.7z,,,,
355,CM_355_Pub_1823_Corr_1869,1823,0,1/609 500,Dépôt Général de la Marine.,GA (92 x 57 cm),"ATLANTIQUE,ANTILLES (Mer),AMERIQUE DU SUD (Côte Nord)",VENEZUELA,"TORTUGA (île), TRINIDAD (île)",,"VICQ,BESANCON",http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_355_Pub_1823_Corr_1869/file/ARCHIVES_CM_355_Pub_1823_Corr_1869.7z,,,,
356,CM_356_Pub_1822,1822,0,1/190 650,Dépôt Général de la Marine.,DA (55 x 45 cm),"ATLANTIQUE,ANTILLES (Mer),AMERIQUE DU SUD (Côte Nord)",VENEZUELA,"MARGARITA (île), CARIACO (Golfe)",,VICQ,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_356_Pub_1822/file/ARCHIVES_CM_356_Pub_1822.7z,,,,
357,CM_357_Pub_1830,1830,1873,,Dépôt Général de la Marine.,27 x 17 cm in DA (61 x 44 cm),"ATLANTIQUE,MEXIQUE (Golfe)",,"FLORIDE (Côte Ouest), TAMPA (Baie)",,,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_357_Pub_1830/file/ARCHIVES_CM_357_Pub_1830.7z,,,,
358,CM_358_Pub_1830,1830,0,,Dépôt Général de la Marine.,26 x 18 cm in DA (61 x 44 cm),"ATLANTIQUE,MEXIQUE (Golfe)",,"SAN BERNARDO (Baie), MATAGORDA (Baie)",,,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_358_Pub_1830/file/ARCHIVES_CM_358_Pub_1830.7z,,,,
359,CM_359_Pub_1830,1830,0,,Dépôt Général de la Marine.,27 x 18 cm in DA (61 x 45 cm),"ATLANTIQUE,ANTILLES (Mer)",,"MOSQUITOS, GRACIAS A DIOS (Anse)",,,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_359_Pub_1830/file/ARCHIVES_CM_359_Pub_1830.7z,,,,
360,CM_360_Pub_1802,1802,1837,1/20 350,Dépôt Général de la Marine.,DA (58 x 40 cm),"ATLANTIQUE,AMERIQUE CENTRALE (Côte Est),MEXIQUE (Golfe)",,VERACRUZ (Port),ORTA (Don Bernardo de),,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_360_Pub_1802/file/ARCHIVES_CM_360_Pub_1802.7z,,,,
361,CM_361_Pub_1830,1830,0,,Dépôt Général de la Marine.,26 x 19 cm in DA (65 x 46 cm),"ATLANTIQUE,MEXIQUE (Golfe)",,"CAMPECHE (Banc), ALACRAN (Port)",,,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_361_Pub_1830/file/ARCHIVES_CM_361_Pub_1830.7z,,,,
362,CM_362_Pub_1830_Ed_1832,1830,0,,Dépôt Général de la Marine.,26 x 18 cm in DA (60 x 44 cm),"ATLANTIQUE,ANTILLES (Mer),PANAMA (Isthme)",,PORTO VELO (Port),,,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_362_Pub_1830_Ed_1832/file/ARCHIVES_CM_362_Pub_1830_Ed_1832.7z,,,,
363,CM_363_Pub_1830,1830,1874,,Dépôt Général de la Marine.,26 x 18 cm in DA (60 x 44 cm),"ATLANTIQUE,ANTILLES (Mer),AMERIQUE DU SUD (Côte Nord)",COLOMBIE,"CISPATA (Port), TERRE FERME",,,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_363_Pub_1830/file/ARCHIVES_CM_363_Pub_1830.7z,,,,
364,CM_364_Pub_1830,1830,0,,Dépôt Général de la Marine.,31 x 21 cm in DA (62 x 45 cm),"ATLANTIQUE,ANTILLES (Mer),AMERIQUE DU SUD (Côte Nord)",,"CURACAO (île), SAINTE-ANNA (Baie), TERRE FERME",,,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_364_Pub_1830/file/ARCHIVES_CM_364_Pub_1830.7z,,,,
365,CM_365_Pub_1812,1812,1874,,Dépôt Général de la Marine.,23 x 17 cm in DA (61 x 44 cm),"ATLANTIQUE,ANTILLES (Mer),AMERIQUE DU SUD (Côte Nord)",VENEZUELA,"LA GUAIRA (Port), GUAYRA (Mouillage), TERRE FERME",,,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_365_Pub_1812/file/ARCHIVES_CM_365_Pub_1812.7z,,,,
365,CM_365_Pub_1830,1830,1874,,Dépôt Général de la Marine.,23 x 17 cm in DA (61 x 44 cm),"ATLANTIQUE,ANTILLES (Mer),AMERIQUE DU SUD (Côte Nord)",VENEZUELA,"LA GUAIRA (Port), GUAYRA (Mouillage), TERRE FERME",,,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_365_Pub_1830/file/ARCHIVES_CM_365_Pub_1830.7z,,,,
366,CM_366_Pub_1830,1830,1874,,Dépôt Général de la Marine.,23 x 18 cm in DA (60 x 45 cm),"ATLANTIQUE,ANTILLES (Mer),AMERIQUE DU SUD (Côte Nord)",VENEZUELA,"MARGARITA (île), PAMPATAR (Baie), PUERTO MORENO (Anse), TERRE FERME",,,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_366_Pub_1830/file/ARCHIVES_CM_366_Pub_1830.7z,,,,
367,CM_367_Pub_1830,1830,1874,,Dépôt Général de la Marine.,24 x 18 cm in DA (58 x 44 cm),"ATLANTIQUE,ANTILLES (Mer),AMERIQUE DU SUD (Côte Nord)",VENEZUELA,"UNARE (Anse), TERRE FERME",,,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_367_Pub_1830/file/ARCHIVES_CM_367_Pub_1830.7z,,,,
368,CM_368_Pub_1824,1824,0,1/1 454 700,Dépôt Général de la Marine.,GA (87 x 55 cm),"ATLANTIQUE,ANTILLES (Mer)","CUBA,CUBA (Côte Sud)",,"BARCAIZTEGUI (Don Ventura de),RIO (Don José del)","VICQ,BESANCON",http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_368_Pub_1824/file/ARCHIVES_CM_368_Pub_1824.7z,,,,
369,CM_369_Pub_1801,1801,1837,1/512 600,Dépôt Général des Cartes et Plans de la Marine.,GA (88 x 55 cm),ATLANTIQUE,,BAHAMA (Canal),,,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_369_Pub_1801/file/ARCHIVES_CM_369_Pub_1801.7z,,,,
370,CM_370_Pub_1800,1800,0,1/14 400,Dépôt Général de la Marine.,DA (53 x 41 cm),"ATLANTIQUE,ANTILLES (Mer)",CUBA,"HAVANE (Port), HAVANNE (Port)",RIO (Don José del),"COLLIN (E),BESANCON",http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_370_Pub_1800/file/ARCHIVES_CM_370_Pub_1800.7z,,,,
371,CM_371_Pub_1786_Corr_1799,1786,1874,1/348 900,"Dépôt Général des Cartes, Plans et Journaux de la Marine et des Colonies.",GA (85 x 57 cm),"ATLANTIQUE,ANTILLES (Mer)",JAMAIQUE,,,,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_371_Pub_1786_Corr_1799/file/ARCHIVES_CM_371_Pub_1786_Corr_1799.7z,,,,
372,CM_372_Pub_1787,1787,0,1/895 900,"Dépôt Général des Cartes, Plans et Journaux de la Marine.",GA (92 x 56 cm),"ATLANTIQUE,ANTILLES (Mer)",SAINT-DOMINGUE,,CHASTENET-PUISEGUR (de),,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_372_Pub_1787/file/ARCHIVES_CM_372_Pub_1787.7z,,,,
373,CM_373_Pub_1787,1787,1837,1/939 600,"Dépôt Général des Cartes, Plans et Journaux de la Marine.",GA (88 x 54 cm),"ATLANTIQUE,ANTILLES (Mer)",SAINT-DOMINGUE,,CHASTENET-PUISEGUR (de),PETIT,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_373_Pub_1787/file/ARCHIVES_CM_373_Pub_1787.7z,,,,
374,CM_374_Pub_1787,1787,1890,,"Dépôt Général des Cartes, Plans et Journaux de la Marine.",36 x 27 cm in DA (58 x 45 cm),"ATLANTIQUE,ANTILLES (Mer)",SAINT-DOMINGUE,ACUL (Baie),,DELAHAYE (Guill),http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_374_Pub_1787/file/ARCHIVES_CM_374_Pub_1787.7z,,,,
374,CM_374_Pub_1787_Corr_1883,1787,1890,,"Dépôt Général des Cartes, Plans et Journaux de la Marine.",36 x 27 cm in DA (58 x 45 cm),"ATLANTIQUE,ANTILLES (Mer)",SAINT-DOMINGUE,ACUL (Baie),,DELAHAYE (Guill),http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_374_Pub_1787_Corr_1883/file/ARCHIVES_CM_374_Pub_1787_Corr_1883.7z,,,,
376,CM_376_Pub_1788_Corr_1849,1788,1887,1/153 400,"Dépôt Général des Cartes, Plans et Journaux de la Marine.",GA (85 x 55 cm),"ATLANTIQUE,ANTILLES (Mer)",,GONAVE (île),LIEUDE DE SEPMANVILLE (de),,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_376_Pub_1788_Corr_1849/file/ARCHIVES_CM_376_Pub_1788_Corr_1849.7z,,,,
376,CM_376_Pub_1788_Ed_1880_Corr_1884,1788,1887,1/153 400,"Dépôt Général des Cartes, Plans et Journaux de la Marine.",GA (85 x 55 cm),"ATLANTIQUE,ANTILLES (Mer)",,GONAVE (île),LIEUDE DE SEPMANVILLE (de),,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_376_Pub_1788_Ed_1880_Corr_1884/file/ARCHIVES_CM_376_Pub_1788_Ed_1880_Corr_1884.7z,,,,
