NUMERO_CARTE,NOM_FICHIER,DATEPUBF,DATSUPF,ECHELLE,EDIT,FORMAT,ZONE,PAYS,REGION,AUTEUR,AURSECD,lien,LONGWEST,LONGEST,LATSUD,LATNORD
5728,CM_5728_Pub_1930_Ed_1946,1930,1999,1/10 000,Service Hydrographique de la Marine.,GA (95 x 65 cm),"ATLANTIQUE,AMERIQUE DU SUD (Côte Nord)",,"GUYANE FRANCAISE, CAYENNE (Port)","LEGRAND (H),ROCHETTE,ANCELLE,RICARD,DUMORET,DESMOTES MAINARD (P)",,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_5728_Pub_1930_Ed_1946/file/ARCHIVES_CM_5728_Pub_1930_Ed_1946.7z,-52.3827778,-52.3233333,4.8955556,4.9822222
5728,CM_5728_Pub_1930_Ed_1956_Corr_1990,1930,1999,1/10 000,Service Hydrographique de la Marine.,GA (95 x 65 cm),"ATLANTIQUE,AMERIQUE DU SUD (Côte Nord)",,"GUYANE FRANCAISE, CAYENNE (Port)","LEGRAND (H),ROCHETTE,ANCELLE,RICARD,DUMORET,DESMOTES MAINARD (P)",,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_5728_Pub_1930_Ed_1956_Corr_1990/file/ARCHIVES_CM_5728_Pub_1930_Ed_1956_Corr_1990.7z,-52.3827778,-52.3233333,4.8955556,4.9822222
5729,CM_5729_Pub_1932,1932,1987,1/25 000,Service Hydrographique de la Marine.,GA (95 x 72 cm),MEDITERRANEE,FRANCE (Côte Sud),"LION (Golfe), THAU (Etang)","FAVE (L),DRIENCOURT (L),LEINEKUGEL (G),COT (D),MONNIER",,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_5729_Pub_1932/file/ARCHIVES_CM_5729_Pub_1932.7z,3.5005556,3.7213889,43.2605556,43.4763889
5729,CM_5729_Pub_1932_GC_1981_Corr_1984,1932,1987,1/25 000,"Service Hydrographique et Océanographique de la Marine, Paris.",GA (95 x 72 cm),MEDITERRANEE,FRANCE (Côte Sud),"LION (Golfe), THAU (Etang)","FAVE (L),DRIENCOURT (L),LEINEKUGEL (G),COT (D),MONNIER",,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_5729_Pub_1932_GC_1981_Corr_1984/file/ARCHIVES_CM_5729_Pub_1932_GC_1981_Corr_1984.7z,3.5005556,3.7213889,43.2605556,43.4763889
5729,CM_5729_Pub_1932_Remp_1956_Corr_1957,1932,1987,1/25 000,"Service Hydrographique de la Marine, Paris.",GA (95 x 72 cm),MEDITERRANEE,FRANCE (Côte Sud),"LION (Golfe), THAU (Etang)","FAVE (L),DRIENCOURT (L),LEINEKUGEL (G),COT (D),MONNIER",,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_5729_Pub_1932_Remp_1956_Corr_1957/file/ARCHIVES_CM_5729_Pub_1932_Remp_1956_Corr_1957.7z,3.5005556,3.7213889,43.2605556,43.4763889
5730,CM_5730_Pub_1932,1932,1985,1/20 000,Service Hydrographique de la Marine.,GA (92 x 62 cm),"PACIFIQUE,CHINE (Mer)",CHINE (Côte Est),"WHANGPOO (Rivière), HUANG P'U CHIANG (Rivière)",,,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_5730_Pub_1932/file/ARCHIVES_CM_5730_Pub_1932.7z,121.45,121.5833333,31.2566667,31.425
5730,CM_5730_Pub_1932_Ed_1961_Corr_1981,1932,1985,1/20 000,"Service Hydrographique de la Marine, Paris.",GA (92 x 62 cm),"PACIFIQUE,CHINE (Mer)",CHINE (Côte Est),"WHANGPOO (Rivière), HUANG P'U CHIANG (Rivière)",,,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_5730_Pub_1932_Ed_1961_Corr_1981/file/ARCHIVES_CM_5730_Pub_1932_Ed_1961_Corr_1981.7z,121.45,121.5833333,31.2566667,31.425
5730,CM_5730_Pub_1932_Remp_1933_Corr_1956,1932,1985,1/20 000,Service Hydrographique de la Marine.,GA (92 x 62 cm),"PACIFIQUE,CHINE (Mer)",CHINE (Côte Est),"WHANGPOO (Rivière), HUANG P'U CHIANG (Rivière)",,,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_5730_Pub_1932_Remp_1933_Corr_1956/file/ARCHIVES_CM_5730_Pub_1932_Remp_1933_Corr_1956.7z,121.45,121.5833333,31.2566667,31.425
5731,CM_5731_Pub_1932,1932,1986,1/452 040,Service Hydrographique de la Marine.,GA (96 x 63 cm),PACIFIQUE,SAMOA (îles),,,,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_5731_Pub_1932/file/ARCHIVES_CM_5731_Pub_1932.7z,-173.1666667,-169.1666667,-14.8333333,-12.25
5731,CM_5731_Pub_1932_Ed_1956,1932,1986,1/452 040,"Service Hydrographique de la Marine, Paris.",GA (96 x 63 cm),PACIFIQUE,SAMOA (îles),,,,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_5731_Pub_1932_Ed_1956/file/ARCHIVES_CM_5731_Pub_1932_Ed_1956.7z,-173.1666667,-169.1666667,-14.8333333,-12.25
5731,CM_5731_Pub_1932_Ed_1956_Corr_1984,1932,1986,1/452 040,"Service Hydrographique de la Marine, Paris.",GA (96 x 63 cm),PACIFIQUE,SAMOA (îles),,,,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_5731_Pub_1932_Ed_1956_Corr_1984/file/ARCHIVES_CM_5731_Pub_1932_Ed_1956_Corr_1984.7z,-173.1666667,-169.1666667,-14.8333333,-12.25
5732,CM_5732_Pub_1932,1932,1980,,Service Hydrographique de la Marine.,32 x 19 in DA (64 x 44 cm),PACIFIQUE,SAMOA (îles),"UPOLU (île), APIA (Port)",,,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_5732_Pub_1932/file/ARCHIVES_CM_5732_Pub_1932.7z,-171.7533333,-171.726388899999,-13.8347222,-13.7916667
5732,CM_5732_Pub_1932_Corr_1949,1932,1980,,Service Hydrographique de la Marine.,32 x 19 in DA (64 x 44 cm),PACIFIQUE,SAMOA (îles),"UPOLU (île), APIA (Port)",,,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_5732_Pub_1932_Corr_1949/file/ARCHIVES_CM_5732_Pub_1932_Corr_1949.7z,-171.7533333,-171.726388899999,-13.8347222,-13.7916667
5732,CM_5732_Pub_1932_Corr_1973,1932,1980,,"Service Hydrographique de la Marine, Paris.",32 x 19 in DA (64 x 44 cm),PACIFIQUE,SAMOA (îles),"UPOLU (île), APIA (Port)",,,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_5732_Pub_1932_Corr_1973/file/ARCHIVES_CM_5732_Pub_1932_Corr_1973.7z,-171.7533333,-171.726388899999,-13.8347222,-13.7916667
5733,CM_5733_Pub_1932,1932,1986,1/78 660,Service Hydrographique de la Marine.,GA (100 x 70 cm),"PACIFIQUE,TASMAN (Mer),AUSTRALIE (Côte Est)",,"MORETON (Baie), BRISBANE (Rivière)",,,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_5733_Pub_1932/file/ARCHIVES_CM_5733_Pub_1932.7z,153.0333333,153.591666699999,-27.5,-26.8019444
5733,CM_5733_Pub_1932_Ed_1958,1932,1986,1/78 660,"Service Hydrographique de la Marine, Paris.",GA (100 x 70 cm),"PACIFIQUE,TASMAN (Mer),AUSTRALIE (Côte Est)",,"MORETON (Baie), BRISBANE (Rivière)",,,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_5733_Pub_1932_Ed_1958/file/ARCHIVES_CM_5733_Pub_1932_Ed_1958.7z,153.0333333,153.591666699999,-27.5,-26.8019444
5733,CM_5733_Pub_1932_Ed_1958_GC_1979_Corr_1985,1932,1986,1/78 660,"Service Hydrographique et Océanographique de la Marine, Paris.",GA (100 x 70 cm),"PACIFIQUE,TASMAN (Mer),AUSTRALIE (Côte Est)",,"MORETON (Baie), BRISBANE (Rivière)",,,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_5733_Pub_1932_Ed_1958_GC_1979_Corr_1985/file/ARCHIVES_CM_5733_Pub_1932_Ed_1958_GC_1979_Corr_1985.7z,153.0333333,153.591666699999,-27.5,-26.8019444
6098,CM_6098_Pub_1953,1953,0,1/45 500,"Service Hydrographique de la Marine, Paris.",DA (67 x 45 cm),ATLANTIQUE,FRANCE (Côte Ouest),BREST (Rade),,,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_6098_Pub_1953/file/ARCHIVES_CM_6098_Pub_1953.7z,-4.6472222,-4.2338889,48.2361111,48.3666667
6098,CM_6098_Pub_1954_Corr_1974,1954,0,1/45 500,"Service Hydrographique de la Marine, Paris.",DA (67 x 45 cm),ATLANTIQUE,FRANCE (Côte Ouest),BREST (Rade),,,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_6098_Pub_1954_Corr_1974/file/ARCHIVES_CM_6098_Pub_1954_Corr_1974.7z,-4.6472222,-4.2338889,48.2361111,48.3666667
6426,CM_6426_Pub_1966,1966,0,1/7 500,"Service Hydrographique de la Marine, Paris.",GA (98 x 66 cm),ATLANTIQUE,FRANCE (Côte Ouest),BREST (Port),MANNEVY (P),,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_6426_Pub_1966/file/ARCHIVES_CM_6426_Pub_1966.7z,-4.5316667,-4.4333333,48.3555556,48.3999999999999
6426,CM_6426_Pub_1966_Ed_1990_Corr_1994,1966,0,1/7 500,"Service Hydrographique de la Marine, France.",GA (98 x 66 cm),ATLANTIQUE,FRANCE (Côte Ouest),BREST (Port),MANNEVY (P),,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_6426_Pub_1966_Ed_1990_Corr_1994/file/ARCHIVES_CM_6426_Pub_1966_Ed_1990_Corr_1994.7z,-4.5316667,-4.4333333,48.3555556,48.3999999999999
6427,CM_6427_Pub_1968_Ed_1992,1968,0,1/15 000,"Service Hydrographique de la Marine, France.",GA (97 x 70 cm),ATLANTIQUE,FRANCE (Côte Ouest),BREST (Rade),,,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_6427_Pub_1968_Ed_1992/file/ARCHIVES_CM_6427_Pub_1968_Ed_1992.7z,-4.5566667,-4.4166667,48.2741667,48.4083333
6451,CM_6451_Pub_1969,1969,1983,1/15 000,"Service Hydrographique de la Marine, Paris.",GA (98 x 67 cm),ATLANTIQUE,ESPAGNE (Côte Sud-Ouest),"CADIX (Baie), ROTA (Port)",,,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_6451_Pub_1969/file/ARCHIVES_CM_6451_Pub_1969.7z,-6.4,-6.2925,36.5016667,36.6333332999999
6451,CM_6451_Pub_1969_GC_1973_Corr_1982,1969,1983,1/15 000,"Service Hydrographique de la Marine, Paris.",GA (98 x 67 cm),ATLANTIQUE,ESPAGNE (Côte Sud-Ouest),"CADIX (Baie), ROTA (Port)",,,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_6451_Pub_1969_GC_1973_Corr_1982/file/ARCHIVES_CM_6451_Pub_1969_GC_1973_Corr_1982.7z,-6.4,-6.2925,36.5016667,36.6333332999999
6453,CM_6453_Pub_1964,1964,2015,1/50 000,"Service Hydrographique de la Marine, Paris.",GA (98 x 67 cm),"ATLANTIQUE,AFRIQUE (Côte Ouest)","CONGO,ANGOLA","CONGO (Cours), CONGO (Embouchure), QUISSANGA (île)",,,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_6453_Pub_1964/file/ARCHIVES_CM_6453_Pub_1964.7z,12.2272222,12.6666667,-6.15,-5.85
